14/02/2016 01:19:39 - New match 6515015 has started
14/02/2016 01:21:33 - Roman killed Brumm using Shotgun
14/02/2016 01:21:33 - Octor killed Maind using AK47
14/02/2016 01:21:35 - Lock killed Maind using Izi9mm
14/02/2016 01:21:36 - Roman killed Kerbin using Knife
14/02/2016 01:21:38 - Brumm killed Maind using Izi9mm
14/02/2016 01:21:42 - Tube killed Brumm using P90
14/02/2016 01:21:45 - Maind killed Lock using Barrete
14/02/2016 01:21:47 - Kerbin killed Maind using Pistol
14/02/2016 01:21:47 - Roman killed Maind using M16
14/02/2016 01:21:49 - Tube killed Nick using Pistol
14/02/2016 01:21:52 - Tube killed Long using Pistol
14/02/2016 01:21:54 - Tube killed Nick using Knife
14/02/2016 01:21:54 - <WORLD> killed Kerbin by Tube
14/02/2016 01:21:57 - Long killed Maind using M16
14/02/2016 01:22:02 - Roman killed Tube using Knife
14/02/2016 01:22:03 - Dota killed Tube using Izi9mm
14/02/2016 01:22:08 - Maind killed Octor using Knife
14/02/2016 01:22:08 - <WORLD> killed Nick by Maind
14/02/2016 01:22:14 - Kerbin killed Dota using Barrete
14/02/2016 01:22:14 - Lock killed Long using M16
14/02/2016 01:22:18 - Dota killed Tube using M16
14/02/2016 01:22:22 - Lock killed Octor using Barrete
14/02/2016 01:22:25 - Long killed Dota using AK47
14/02/2016 01:22:35 - Brumm killed Dota using Izi9mm
14/02/2016 01:22:37 - Roman killed Dota using Izi9mm
14/02/2016 01:22:41 - Kerbin killed Dota using Pistol
14/02/2016 01:22:43 - Brumm killed Nick using Knife
14/02/2016 01:22:43 - <WORLD> killed Brumm by Tube
14/02/2016 01:22:53 - Octor killed Nick using P90
14/02/2016 01:22:54 - Octor killed Brumm using P90
14/02/2016 01:22:57 - Maind killed Brumm using M16
14/02/2016 01:22:57 - <WORLD> killed Tube by Maind
14/02/2016 01:23:01 - Roman killed Maind using Pistol
14/02/2016 01:23:01 - Long killed Lock using AK47
14/02/2016 01:23:01 - <WORLD> killed Nick by Lock
14/02/2016 01:23:05 - Kerbin killed Dota using Pistol
14/02/2016 01:23:07 - Tube killed Octor using Izi9mm
14/02/2016 01:23:07 - <WORLD> killed Lock by Maind
14/02/2016 01:23:07 - Roman killed Tube using Izi9mm
14/02/2016 01:23:08 - Kerbin killed Tube using M16
14/02/2016 01:23:08 - <WORLD> killed Kerbin by Lock
14/02/2016 01:23:14 - Long killed Nick using P90
14/02/2016 01:23:15 - Long killed Tube using Pistol
14/02/2016 01:23:15 - <WORLD> killed Tube by Lock
14/02/2016 01:23:21 - Long killed Maind using P90
14/02/2016 01:23:21 - Dota killed Kerbin using Shotgun
14/02/2016 01:23:21 - <WORLD> killed Maind by Tube
14/02/2016 01:23:26 - Roman killed Dota using Barrete
14/02/2016 01:23:27 - Brumm killed Tube using M16
14/02/2016 01:23:30 - Tube killed Octor using M16
14/02/2016 01:23:33 - Octor killed Dota using Pistol
14/02/2016 01:23:38 - Nick killed Dota using Barrete
14/02/2016 01:23:40 - Roman killed Octor using AK47
14/02/2016 01:23:41 - Long killed Maind using Barrete
14/02/2016 01:23:41 - Brumm killed Lock using AK47
14/02/2016 01:23:43 - Long killed Brumm using Knife
14/02/2016 01:23:43 - Tube killed Brumm using Shotgun
14/02/2016 01:23:44 - Maind killed Tube using P90
14/02/2016 01:23:44 - <WORLD> killed Nick by Maind
14/02/2016 01:23:50 - Brumm killed Octor using P90
14/02/2016 01:23:55 - Kerbin killed Lock using M16
14/02/2016 01:23:57 - Dota killed Tube using AK47
14/02/2016 01:24:01 - Tube killed Brumm using Izi9mm
14/02/2016 01:24:04 - Maind killed Nick using Pistol
14/02/2016 01:24:05 - Kerbin killed Dota using Knife
14/02/2016 01:24:05 - <WORLD> killed Tube by Long
14/02/2016 01:24:09 - Octor killed Brumm using Izi9mm
14/02/2016 01:24:12 - Roman killed Long using Barrete
14/02/2016 01:24:16 - Long killed Nick using Barrete
14/02/2016 01:24:19 - Nick killed Lock using M16
14/02/2016 01:24:24 - Maind killed Lock using Shotgun
14/02/2016 01:24:27 - Brumm killed Dota using Izi9mm
14/02/2016 01:24:28 - Nick killed Octor using Pistol
14/02/2016 01:24:29 - Long killed Octor using Shotgun
14/02/2016 01:24:32 - Maind killed Brumm using Shotgun
14/02/2016 01:24:36 - Kerbin killed Dota using Pistol
14/02/2016 01:24:39 - Octor killed Lock using Knife
14/02/2016 01:24:43 - Dota killed Nick using Knife
14/02/2016 01:24:44 - Tube killed Kerbin using AK47
14/02/2016 01:24:45 - Dota killed Long using Pistol
14/02/2016 01:24:49 - Long killed Tube using Pistol
14/02/2016 01:24:54 - Roman killed Octor using Shotgun
14/02/2016 01:24:55 - Maind killed Lock using Izi9mm
14/02/2016 01:24:57 - Roman killed Maind using Izi9mm
14/02/2016 01:24:59 - Kerbin killed Brumm using Knife
14/02/2016 01:25:00 - Long killed Nick using Barrete
14/02/2016 01:25:01 - Tube killed Maind using Barrete
14/02/2016 01:25:04 - Tube killed Brumm using AK47
14/02/2016 01:25:06 - Octor killed Nick using Knife
14/02/2016 01:25:10 - Nick killed Long using Barrete
14/02/2016 01:25:13 - Roman killed Kerbin using Shotgun
14/02/2016 01:25:14 - Kerbin killed Nick using Shotgun
14/02/2016 01:25:14 - <WORLD> killed Kerbin by Maind
14/02/2016 01:25:18 - Lock killed Dota using M16
14/02/2016 01:25:20 - Octor killed Dota using Barrete
14/02/2016 01:25:22 - Lock killed Nick using Shotgun
14/02/2016 01:25:22 - Long killed Octor using Shotgun
14/02/2016 01:25:24 - Brumm killed Kerbin using Pistol
14/02/2016 01:25:28 - Lock killed Tube using Shotgun
14/02/2016 01:25:40 - Long killed Maind using M16
14/02/2016 01:25:45 - Maind killed Octor using M16
14/02/2016 01:25:50 - Kerbin killed Brumm using Izi9mm
14/02/2016 01:25:50 - Octor killed Nick using Knife
14/02/2016 01:25:55 - Octor killed Tube using M16
14/02/2016 01:25:55 - Roman killed Kerbin using Izi9mm
14/02/2016 01:25:57 - Kerbin killed Dota using Barrete
14/02/2016 01:25:58 - Octor killed Long using Izi9mm
14/02/2016 01:26:03 - Lock killed Long using Shotgun
14/02/2016 01:26:05 - Brumm killed Dota using Shotgun
14/02/2016 01:26:05 - <WORLD> killed Tube by Long
14/02/2016 01:26:11 - Nick killed Lock using Shotgun
14/02/2016 01:26:12 - Long killed Tube using M16
14/02/2016 01:26:16 - Brumm killed Long using M16
14/02/2016 01:26:21 - Octor killed Dota using Pistol
14/02/2016 01:26:25 - Maind killed Nick using Izi9mm
14/02/2016 01:26:29 - Brumm killed Kerbin using M16
14/02/2016 01:26:33 - Octor killed Brumm using Shotgun
14/02/2016 01:26:36 - Brumm killed Nick using AK47
14/02/2016 01:26:40 - Match 6515015 has ended
